year,pick,team,name,college,yrs,gms,min,pts,trb,ast,fg%,3p%,ft%,mpg,ppg,rpg,apg,ws,ws/48,bpm,vorp,link,at_col,mvps,roy,dpoys,smoys,mips,fmvps,1st_team,2nd_team,3rd_team,all_nba,all_star,franchise,active
1978,85,PHO,Bob Miller,Cincinnati,1,2,8,4,5,1,0.667,0,0,4,2,2.5,0.5,0.1,0.36,-4,0,/players/m/millebo01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,PHO,FALSE
1978,86,SAS,Rich Adams,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/a/adamsri01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,SAS,FALSE
1978,87,PHI,Brett Vroman,UNLV,1,11,93,34,25,9,0.37,0,0.737,8.5,3.1,2.3,0.8,0.1,0.048,-3.6,0,/players/v/vromabr01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,PHI,FALSE
1978,88,PHO,Wayne Smith,"University of California, Irvine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/s/smithwa01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,PHO,FALSE
1978,89,NJN,Cecil Rose,Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/r/rosece01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,BRK,FALSE
1978,90,SDC,David Thompson,Florida State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/t/thompda02.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAC,FALSE
1978,91,HOU,Gary Goodner,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/g/goodnga01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,HOU,FALSE
1978,92,IND,James Sparrow,North Carolina A&T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/s/sparrja01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,IND,FALSE
1978,93,KCK,Derrick Clairborne,UMass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/c/clairde01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,SAC,FALSE
1978,94,BOS,Greg Tynes,Seton Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/t/tynesgr01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,BOS,FALSE
1978,95,DET,Dave Caligaris,Northeastern University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/c/caligda01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,DET,FALSE
1978,96,NOJ,Duck Williams,Notre Dame,1,77,1794,506,106,183,0.447,0,0.7,23.3,6.6,1.4,2.4,-0.3,-0.009,-4,-0.9,/players/w/willidu01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,UTA,FALSE
1978,97,CHI,Ron Anthony,Jacksonville University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/a/anthoro01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,CHI,FALSE
1978,98,ATL,Chris Potter,Holy Cross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/p/pottech01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,ATL,FALSE
1978,99,CLE,Ken Koenigs,Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/k/koenike01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,CLE,FALSE
1978,100,NYK,Greg Green,Southern University and A&M College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/g/greengr01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,NYK,FALSE
1978,101,GSW,Bubba Wilson,Western Carolina University,1,16,143,17,16,12,0.28,0,0.5,8.9,1.1,1,0.8,-0.2,-0.064,-5.3,-0.2,/players/w/wilsobu01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,GSW,FALSE
1978,102,WSB,Roger Dickens,Towson University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/d/dickero01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,WAS,FALSE
1978,103,MIL,Russ Coleman,University of the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/c/colemru01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,MIL,FALSE
1978,104,LAL,Carlos Terry,Winston-Salem State,3,94,1078,285,227,124,0.434,0,0.672,11.5,3,2.4,1.3,1.5,0.066,0.1,0.5,/players/t/terryca01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAL,FALSE
1978,105,SEA,Ralph Drollinger,UCLA,1,6,67,15,19,14,0.5,0,0.25,11.2,2.5,3.2,2.3,-0.2,-0.117,-4.1,-0.1,/players/d/drollra01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,OKC,FALSE
